Nucleosome	Probability
0	0.025933646349974374
1	0.025933646349974374
2	0.025933646349974374
3	0.025933646349974374
4	0.025933646349974374
5	0.025933646349974374
6	0.025933646349974374
7	0.025933646349974374
8	0.025933646349974374
9	0.025933646349974374
10	0.025933646349974374
11	0.025933646349974374
12	0.025933646349974374
13	0.025933646349974374
14	0.025910172969927876
15	0.024328458323144897
16	0.022081824105293246
17	0.020160961662781807
18	0.018503355111861408
19	0.017061112980698456
20	0.015796993081743094
21	0.014681644311041908
22	0.013691654816201937
23	0.012808146208164728
24	0.012015744815492946
25	0.011301817914479817
26	0.010655899181848838
27	0.010069251261368928
28	0.009534529023671023
29	0.009045517688146876
30	0.008596927237820462
31	0.00818422961127474
32	0.007803528719624864
33	0.007451455881701263
34	0.007125085109517315
35	0.006821864019197266
36	0.006539557133540874
37	0.006276199080547551
38	0.006030055746995833
39	0.005799591866614495
40	0.005583443843563962
41	0.005380396859134495
42	0.005189365501159782
43	0.005009377305144447
44	0.004839558713497005
45	0.004679123051999801
46	0.004527360196339425
47	0.004383627660386302
48	0.004247342885190297
49	0.0041179765458124185
50	0.003995046724055151
51	0.0038781138203544674
52	0.0037667760987192267
53	0.0036606657755465233
54	0.0035594455771090217
55	0.0034628057020888448
56	0.003370461135145386
57	0.0032821492655217277
58	0.0031976277714136914
59	0.00311667273645444
60	0.0030390769694182973
61	0.0029646485022583047
62	0.0028932092449875935
63	0.002824593778805895
64	0.0027586482713329308
65	0.002695229499909191
66	0.002634203970733384
67	0.00257544712314306
68	0.002518842609685046
69	0.002464281643763888
70	0.0024116624076550575
71	0.0023608895145269537
72	0.002311873518865748
73	0.002264530470345971
74	0.002218781506758971
75	0.002174552482105352
76	0.002131773626392719
77	0.0020903792340614125
78	0.0020503073782916492
79	0.002011499648744919
80	0.001973900910549109
81	0.001937459082564652
82	0.0019021249331754864
83	0.0018678518920242637
84	0.0018345958762735481
85	0.0018023151301150286
86	0.0017709700763727798
87	0.0017405231791639553
88	0.00171093881667439
89	0.0016821831632009565
90	0.0016542240796891816
91	0.0016270310120691245
92	0.0016005748967544142
93	0.0015748280727286845
94	0.001549764199696102
95	0.0015253581818158723
96	0.0015015860965894579
97	0.0014784251284989947
98	0.0014558535070380296
99	0.0014338504487991233
100	0.0014123961033177257
101	0.001391471502392494
102	0.001371058512626866
103	0.0013511397909594658
104	0.0013316987429661808
105	0.0013127194837384004
106	0.0012941868011539515
107	0.0012760861213745867
108	0.001258403476414871
109	0.0012411254736413024
110	0.0012242392670686053
111	0.0012077325303346265
112	0.0011915934312385912
113	0.0011758106077423558
114	0.0011603731453355137
115	0.0011452705556786458
116	0.0011304927564392275
117	0.0011160300522467526
118	0.0011018731166938522
119	0.0010880129753186307
120	0.0010744409895076523
121	0.0010611488412605175
122	0.0010481285187660117
123	0.0010353723027374806
124	0.0010228727534647986
125	0.001010622698536412
126	0.0009986152211948762
127	0.000986843649286695
128	0.0009753015447725444
129	0.0009639826937644369
130	0.0009528810970605706
131	0.0009419909611490251
132	0.0009313066896531053
133	0.000920822875194377
134	0.000910534291649806
135	0.0009004358867806261
136	0.0008905227752130651
137	0.000880790231751416
138	0.0008712336850059954
139	0.0008618487113174755
140	0.0008526310289641292
141	0.0008435764926342793
142	0.0008346810881527389
143	0.0008259409274453677
144	0.000817352243731001
145	0.0008089113869289011
146	0.0008006148192695184
147	0.0007924591110999024
148	0.0007844409368719385
149	0.0007765570713068048
150	0.0007688043857237703
151	0.0007611798445278373
152	0.0007536805018468207
153	0.0007463034983116179
154	0.0007390460579711489
155	0.0007319054853378859
156	0.0007248791625546203
157	0.000717964546680161
158	0.0007111591670845296
159	0.0007044606229528738
160	0.0006978665808876072
161	0.0006913747726107755
162	0.0006849829927547402
163	0.0006786890967442061
164	0.0006724909987593786
165	0.000666386669781166
166	0.000660374135711822
167	0.0006544514755684183
168	0.0006486168197472331
169	0.0006428683483536701
170	0.000637204289596377
171	0.0006316229182424249
172	0.000626122554130748
173	0.0006207015607409272
174	0.0006153583438162358
175	0.0006100913500367844
176	0.0006048990657420983
177	0.000599780015700907
178	0.0005947327619248988
179	0.000589755902525968
180	0.0005848480706152903
181	0.0005800079332403674
182	0.0005752341903617064
183	0.0005705255738643888
184	0.00056588084660536
185	0.0005612988014938591
186	0.0005567782606039073
187	0.000552318074317687
188	0.0005479171204984534
189	0.0005435743036918406
190	0.0005392885543546722
191	0.0005350588281095026
192	0.0005308841050247481
193	0.0005267633889192991
194	0.0005226957066894466
195	0.000518680107659264
196	0.0005147156629517202
197	0.000510801464881222
198	0.0005069366263654451
199	0.0005031202803566226
200	0.0004993515792912073
201	0.0004956296945578809
202	0.0004919538159812165
203	0.0004883231513238273
204	0.00048473692580267014
205	0.000481194381621447
206	0.0004776947775178564
207	0.00047423738832441664
208	0.00047082150454388905
209	0.00046744643193685764
210	0.0004641114911230759
211	0.00046081601719416554
212	0.00045755935933908254
213	0.000454340880479992
214	0.0004511599569200775
215	0.00044801597800164794
216	0.00044490834577440297
217	0.0004418364746734682
218	0.00043879979120783896
219	0.0004357977336570673
220	0.00043282975177744154
221	0.0004298953065166866
222	0.0004269938697371023
223	0.0004241249239464451
224	0.00042128796203724783
225	0.0004184824870326065
226	0.0004157080118405987
227	0.00041296405901464217
228	0.00041025016052106955
229	0.0004075658575134755
230	0.0004049107001132257
231	0.00040228424719598865
232	0.0003996860661845958
233	0.00039711573284756385
234	0.0003945728311028629
235	0.00039205695282770736
236	0.00038956769767298227
237	0.00038710467288330386
238	0.00038466749312141
239	0.0003822557802979354
240	0.00037986916340521093
241	0.0003775072783560318
242	0.0003751697678265331
243	0.0003728562811029512
244	0.00037056647393315933
245	0.00036830000838164456
246	0.0003660565526883153
247	0.0003638357811311943
248	0.00036163737389269257
249	0.0003594610169292689
250	0.0003573064018445593
251	0.00035517322576567034
252	0.00035306119122285873
253	0.0003509700060322085
254	0.00034889938318105607
255	0.0003468490407168845
256	0.00034481870163849404
257	0.0003428080937901423
258	0.0003408169497585156
259	0.00033884500677192064
260	0.00033689200660241836
261	0.0003349576954698452
262	0.00033304182394883197
263	0.00033114414687773763
264	0.0003292644232697206
265	0.0003274024162265299
266	0.0003255578928536007
267	0.00032373062417825893
268	0.0003219203850684249
269	0.0003201269541552587
270	0.0003183501137555833
271	0.0003165896497976939
272	0.00031484535174833295
273	0.0003131170125413585
274	0.0003114044285082995
275	0.00030970739931024394
276	0.00030802572787205773
277	0.00030635922031696516
278	0.0003047076859039599
279	0.0003030709369655771
280	0.00030144878884774684
281	0.0002998410598511192
282	0.00029824757117283274
283	0.000296668146851059
284	0.0002951026137094359
285	0.0002935508013036936
286	0.00029201254186889125
287	0.0002904876702684578
288	0.00028897602394373223
289	0.0002874774428650584
290	0.00028599176948398974
